id,strain,time,concentration,count,mean,std
LGzLAlS77olkIticaRt,MUCRB1,24,3,174,0.032813055643356064,0.0029582513898920677
4fkaatas319zb5t62zesy,MucATn,3,3,100,0.04105060096668835,0.006866226601059457
LFllPvdbtYUWpnWFDWY,WT,0,11,290,0.04024831211894559,0.0034521747161696736
LIk_EXFr68cU2UGr69n,MUCRKO,24,3,191,0.025104970289115208,0.006459493939287563
LI_eCvTOT07FHXKUw87,MUCRKO,24,3,212,0.028904225497951703,0.0069398051813433104
LGKJ2IhGjzWHYNxqija,MUCRA1,3,4,39,0.0573626332689013,0.007366973834739782
LFsNITBLivQ7QkgZxCW,MUCRA1,6,3,61,0.08733034496212198,0.016117630216742427
LGGe_iiL40-NFXKwVlG,MUCRA1,1,2,112,0.05519080766377037,0.0064180015583072654
LFllPvRcwXejB3EsRGl,WT,0,11,241,0.04541681611436333,0.005813145462034419
LGUtf9Q144lvaToCGXD,MUCRA1,24,3,205,0.03736123733507693,0.0031668614920141286
LGKJ2IRBE4NKENEHPBi,MUCRA1,3,4,29,0.08265447419766542,0.017651310830569495
LIttpKwyjOn2pfy0v34,MUCRKO,6,3,273,0.026925811469674415,0.004900279298589991
LGUtf9VudchlF9AnO3l,MUCRA1,6,3,127,0.03390898714846007,0.003090905323322824
LGKJ2I_r9bC5VyX9Vt1,MUCRA1,0,10,247,0.039685177854608136,0.003797095432718901
LGUtf9flNWjTZPZEvjG,MUCRA1,24,3,231,0.03411717143009394,0.0037547901008778673
LIfbzw3p6DHLq7S1ORF,MUCRKO,24,3,192,0.02943913550980724,0.00778456930506549
LFllPupOaEtWF-payqk,WT,0,11,126,0.05647895222495364,0.012662646141686055
LIfhhtQwpVJf2Eq9R0-,MUCRKO,6,4,451,0.028532741922307234,0.006124047514592569
LGGe_jCcqm6_WSIah-c,MUCRA1,3,3,117,0.05596089641441198,0.007662450713392872
LGLUBFz7h_JQqUMNsDY,MUCRB1,24,3,173,0.04146256946836204,0.003640458821833279
LFllPt6JlHZsySTNwTd,WT,0,11,188,0.04754950722928501,0.006064822185734012
